sp   ,dp   ,pr,fwd,stos,ipkt ,ibyt    ,opkt,obyt,sas,das,dtos,dir,ts_month,ts_day,ts_hour,ts_minute,ts_second,ts_msecond,te_month,te_day,te_hour,te_minute,te_second,te_msecond,tr_month,tr_day,tr_hour,tr_minute,tr_second,tr_msecond,sa1,sa2,sa3,sa4,da1,da2,da3,da4,flg_ACK,flg_PSH,flg_RST,flg_SYN,flg_FIN,sp_is_privileged,dp_is_privileged
443  ,64077,1 ,0  ,2   ,4    ,661     ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,50       ,0         ,8       ,31    ,14     ,55       ,50       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,23 ,12 ,106,22 ,157,138,165,200,1      ,1      ,0      ,0      ,0      ,1               ,0
443  ,51136,1 ,0  ,0   ,26   ,9792    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,50       ,0         ,8       ,31    ,14     ,55       ,50       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,52 ,113,194,132,157,138,167,152,1      ,1      ,0      ,1      ,1      ,1               ,0
443  ,61181,1 ,0  ,0   ,10   ,5442    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,50       ,0         ,8       ,31    ,14     ,55       ,50       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,20 ,44 ,10 ,122,157,138,138,137,1      ,1      ,0      ,1      ,1      ,1               ,0
443  ,61180,1 ,0  ,0   ,12   ,5922    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,50       ,0         ,8       ,31    ,14     ,55       ,50       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,20 ,189,173,12 ,157,138,138,137,1      ,1      ,0      ,1      ,1      ,1               ,0
993  ,59925,1 ,0  ,4   ,9    ,504     ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,50       ,0         ,8       ,31    ,14     ,55       ,50       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,17 ,42 ,251,32 ,157,138,167,22 ,1      ,0      ,0      ,0      ,1      ,1               ,0
443  ,61225,1 ,0  ,0   ,6    ,1238    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,50       ,0         ,8       ,31    ,14     ,55       ,50       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,13 ,107,42 ,12 ,157,138,106,30 ,1      ,1      ,0      ,0      ,0      ,1               ,0
443  ,50444,1 ,0  ,0   ,16   ,1982    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,51       ,0         ,8       ,31    ,14     ,55       ,51       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,142,250,184,37 ,157,138,164,71 ,1      ,1      ,0      ,0      ,0      ,1               ,0
443  ,53497,1 ,0  ,0   ,10   ,1104    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,51       ,0         ,8       ,31    ,14     ,55       ,51       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,157,240,231,60 ,157,138,165,233,1      ,1      ,0      ,0      ,0      ,1               ,0
443  ,53776,1 ,0  ,4   ,17   ,8862    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,51       ,0         ,8       ,31    ,14     ,55       ,51       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,17 ,248,248,43 ,157,138,185,31 ,1      ,1      ,0      ,1      ,1      ,1               ,0
443  ,53775,1 ,0  ,4   ,17   ,8863    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,51       ,0         ,8       ,31    ,14     ,55       ,51       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,17 ,248,248,43 ,157,138,185,31 ,1      ,1      ,0      ,1      ,1      ,1               ,0
443  ,50439,1 ,0  ,0   ,11   ,4790    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,51       ,0         ,8       ,31    ,14     ,55       ,51       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,35 ,190,56 ,82 ,157,138,184,70 ,1      ,1      ,0      ,1      ,1      ,1               ,0
443  ,50441,1 ,0  ,0   ,10   ,4740    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,51       ,0         ,8       ,31    ,14     ,55       ,51       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,34 ,120,243,77 ,157,138,184,70 ,1      ,1      ,0      ,1      ,1      ,1               ,0
7294 ,2000 ,1 ,0  ,0   ,6    ,384     ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,51       ,0         ,8       ,31    ,14     ,55       ,51       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,74 ,82 ,47 ,2  ,157,138,20 ,223,0      ,0      ,0      ,1      ,0      ,0               ,0
51366,2000 ,1 ,0  ,0   ,6    ,384     ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,51       ,0         ,8       ,31    ,14     ,55       ,51       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,64 ,62 ,197,167,157,138,28 ,244,0      ,0      ,0      ,1      ,0      ,0               ,0
443  ,50438,1 ,0  ,0   ,11   ,4796    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,51       ,0         ,8       ,31    ,14     ,55       ,51       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,34 ,120,243,77 ,157,138,184,70 ,1      ,1      ,0      ,1      ,1      ,1               ,0
443  ,53777,1 ,0  ,4   ,17   ,8862    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,51       ,0         ,8       ,31    ,14     ,55       ,51       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,17 ,248,248,43 ,157,138,185,31 ,1      ,1      ,0      ,1      ,1      ,1               ,0
443  ,57878,1 ,0  ,0   ,7    ,392     ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,51       ,0         ,8       ,31    ,14     ,55       ,51       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,23 ,1  ,76 ,61 ,157,138,166,136,1      ,1      ,1      ,0      ,1      ,1               ,0
443  ,62781,1 ,0  ,0   ,19   ,5387    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,51       ,0         ,8       ,31    ,14     ,55       ,51       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,74 ,125,200,189,157,138,165,103,1      ,1      ,0      ,0      ,0      ,1               ,0
443  ,50437,1 ,0  ,0   ,9    ,4714    ,0   ,0   ,0  ,0  ,0   ,0  ,8       ,31    ,14     ,55       ,51       ,0         ,8       ,31    ,14     ,55       ,51       ,0         ,8       ,31    ,14     ,57       ,1        ,0         ,34 ,149,211,227,157,138,184,70 ,1      ,1      ,0      ,1      ,1      ,1               ,0
