,tr_msecond,te_day,te_minute,te_second,flg_RST,tr_second,sa2,ts_day,te_hour,tr_minute,pr,tr_day,ibyt    ,dtos,ts_msecond,flg_PSH,tr_month,ts_second,te_msecond,flg_ACK,flg_SYN,da3,dp_is_privileged,das,sp_is_privileged,sa3,tr_hour,ts_month,obyt,te_month,sa4,outlier,ts_minute,flg_FIN,sas,stos,opkt,ts_hour,da2,da1,fwd,ipkt ,sp   ,dir,sa1,da4,dp   
99,0,31,55,55,0,1,120,31,14,57,1,31,4796,0,0,1,8,55,0,1,1,184,0,0,1,243,14,8,0,8,77,0,55,1,0,0,0,14,138,157,0,11,443,0,34,70,50460
100,0,31,55,55,1,1,194,31,14,57,1,31,106,0,0,0,8,55,0,1,0,164,0,0,0,69,14,8,0,8,188,0,55,0,0,0,0,14,138,157,0,2,5228,0,173,69,59645
101,0,31,55,55,0,1,250,31,14,57,1,31,21966,0,0,1,8,55,0,1,0,12,0,0,1,180,14,8,0,8,138,0,55,0,0,0,0,14,138,157,0,46,443,0,142,183,57637
102,0,31,55,55,0,1,1,31,14,57,1,31,13508,0,0,1,8,55,0,1,1,166,0,0,1,66,14,8,0,8,127,0,55,1,0,0,0,14,138,157,0,24,443,0,23,232,54748
103,0,31,55,55,0,1,18,31,14,57,1,31,3893,0,0,1,8,55,0,1,1,110,0,0,1,42,14,8,0,8,171,0,55,1,0,0,0,14,138,157,0,13,443,0,104,226,62273
104,0,31,55,55,1,1,125,31,14,57,1,31,2010,0,0,1,8,55,0,1,1,24,0,0,1,24,14,8,0,8,109,0,55,1,0,0,0,14,138,157,0,19,995,0,74,29,62569
105,0,31,55,55,0,1,250,31,14,57,2,31,60792,0,0,0,8,55,0,0,0,187,0,0,1,180,14,8,0,8,138,0,55,0,0,0,0,14,138,157,0,290,443,0,142,136,49818
106,0,31,55,55,0,1,8,31,14,57,1,31,7110,0,0,1,8,55,0,1,1,110,0,0,1,8,14,8,0,8,8,0,55,1,0,0,0,14,138,157,0,15,443,0,8,226,62270
107,0,31,55,55,0,1,250,31,14,57,1,31,11201,0,0,0,8,55,0,0,0,167,0,0,1,180,14,8,0,8,138,0,55,0,0,0,0,14,138,157,0,24,443,0,142,164,51805
108,0,31,55,55,0,1,250,31,14,57,2,31,3835,0,0,0,8,55,0,0,0,164,0,0,1,184,14,8,0,8,35,0,55,0,0,0,0,14,138,157,0,13,443,0,142,3,63715
109,0,31,55,55,0,1,190,31,14,57,1,31,7899,0,0,1,8,55,0,1,1,166,0,0,1,159,14,8,0,8,100,0,55,0,0,0,0,14,138,157,0,10,443,0,20,146,54113
110,0,31,55,55,0,1,54,31,14,57,1,31,100,0,0,0,8,55,0,1,0,10,0,0,1,150,14,8,0,8,22,0,55,1,0,4,0,14,138,157,0,2,443,0,185,152,50621
111,0,31,55,55,0,1,8,31,14,57,1,31,7110,0,0,1,8,55,0,1,1,110,0,0,1,8,14,8,0,8,8,0,55,1,0,0,0,14,138,157,0,15,443,0,8,226,62272
112,0,31,55,55,0,1,250,31,14,57,1,31,4163,0,0,1,8,55,0,1,0,65,0,0,1,184,14,8,0,8,35,0,55,0,0,0,0,14,138,157,0,49,443,0,142,127,61910
113,0,31,55,55,0,1,74,31,14,57,1,31,1574,0,0,1,8,55,0,1,0,25,0,0,1,219,14,8,0,8,49,0,55,0,0,0,0,14,138,157,0,5,443,0,40,191,62784
114,0,31,55,55,0,1,13,31,14,57,1,31,158,0,0,1,8,55,0,1,0,178,0,0,1,86,14,8,0,8,34,0,55,1,0,0,0,14,138,157,0,2,443,0,31,254,46310
115,0,31,55,56,0,1,95,31,14,57,1,31,8991,0,0,1,8,56,0,1,1,166,0,0,1,122,14,8,0,8,74,0,55,1,0,0,0,14,138,157,0,17,443,0,52,219,48906
116,0,31,55,56,0,1,58,31,14,57,1,31,1398,0,0,1,8,56,0,1,0,87,0,0,1,209,14,8,0,8,42,0,55,1,0,0,0,14,138,157,0,15,443,0,216,70,54044
117,0,31,55,56,0,1,8,31,14,57,2,31,8321,0,0,0,8,56,0,0,0,164,0,0,1,8,14,8,0,8,8,0,55,0,0,0,0,14,138,157,0,15,443,0,8,3,55194
118,0,31,55,56,0,1,89,31,14,57,1,31,8369,0,0,1,8,56,0,1,1,178,0,0,1,179,14,8,0,8,8,0,55,0,0,0,0,14,138,157,0,13,443,0,13,42,54027
119,0,31,55,56,0,1,250,31,14,57,1,31,1484,0,0,1,8,56,0,1,0,23,0,0,1,180,14,8,0,8,138,0,55,0,0,0,0,14,138,157,0,17,443,0,142,101,55706
120,0,31,55,56,0,1,185,31,14,57,1,31,577,0,0,1,8,56,0,1,0,23,0,0,1,212,14,8,0,8,106,0,55,0,0,0,0,14,138,157,0,5,443,0,20,26,57253
121,0,31,55,56,0,1,25,31,14,57,1,31,100,0,0,0,8,56,0,0,1,22,1,0,0,219,14,8,0,8,244,0,55,0,0,0,0,14,138,157,0,2,42015,0,113,46,23
122,0,31,55,56,0,1,149,31,14,57,1,31,5627,0,0,1,8,56,0,1,1,166,0,0,1,159,14,8,0,8,73,0,55,1,0,0,0,14,138,157,0,13,443,0,34,219,44276
123,0,31,55,56,1,1,251,31,14,57,1,31,373,0,0,1,8,56,0,1,0,23,0,0,1,10,14,8,0,8,139,0,55,1,0,0,0,14,138,157,0,5,443,0,142,99,55806
124,0,31,55,57,0,1,108,31,14,57,1,31,924,0,0,1,8,57,0,1,0,166,0,0,1,80,14,8,0,8,31,0,55,0,0,0,0,14,138,157,0,12,443,0,52,129,51862
125,0,31,55,57,0,1,251,31,14,57,1,31,17351,0,0,1,8,57,0,1,0,167,0,0,1,209,14,8,0,8,46,0,55,0,0,0,0,14,138,157,0,113,443,0,142,164,51885
126,0,31,55,57,0,1,250,31,14,57,1,31,948,0,0,1,8,57,0,1,1,138,0,0,1,184,14,8,0,8,74,0,55,0,0,0,0,14,138,157,0,7,443,0,142,137,61184
127,0,31,55,57,0,1,186,31,14,57,1,31,1156,0,0,1,8,57,0,1,1,24,0,0,1,6,14,8,0,8,191,0,55,1,0,0,0,14,138,157,0,10,443,0,130,29,62571
128,0,31,55,57,0,1,250,31,14,57,1,31,14735,0,0,1,8,57,0,1,0,23,0,0,1,184,14,8,0,8,46,0,55,0,0,0,0,14,138,157,0,107,443,0,142,29,56716
129,0,31,55,57,0,1,112,31,14,57,2,31,912,0,0,0,8,57,0,0,0,107,0,0,0,172,14,8,0,8,40,0,55,0,0,0,0,14,138,157,0,4,3478,0,52,108,50011
130,0,31,55,57,0,1,250,31,14,57,1,31,5285,0,0,1,8,57,0,1,0,167,0,0,1,184,14,8,0,8,106,0,55,0,0,0,0,14,138,157,0,51,443,0,142,164,51003
