===== CBOD RESULTS =====
     sp     dp     pr  fwd  stos  ipkt   ibyt      opkt  obyt  sas  das  dtos  dir  ts_month  ts_day  ts_hour  ts_minute  ts_second  ts_msecond  te_month  te_day  te_hour  te_minute  te_second  te_msecond  tr_month  tr_day  tr_hour  tr_minute  tr_second  tr_msecond  sa1  sa2  sa3  sa4  da1  da2  da3  da4  flg_ACK  flg_PSH  flg_RST  flg_SYN  flg_FIN  sp_is_privileged  dp_is_privileged
912  60867  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         33           0         8      31       14         56         33           0         8      31       14         57          1           0   94  102   61   31  157  138   20  192        0        0        0        0        0                 0                 0
913  52050  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         33           0         8      31       14         56         33           0         8      31       14         57          1           0   94  102   61   31  157  138   22  174        0        0        0        0        0                 0                 0
916  35363  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         33           0         8      31       14         56         33           0         8      31       14         57          1           0   94  102   61   31  157  138   22   19        0        0        0        0        0                 0                 0
932  35123  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         33           0         8      31       14         56         33           0         8      31       14         57          1           0   94  102   61   31  157  138   22  102        0        0        0        0        0                 0                 0
940  55254  50500   1    0     8      1        50     0     0    0    0     0    0         8      31       14         56         33           0         8      31       14         56         33           0         8      31       14         57          1           0  193  163  125   56  157  138   28  219        0        0        0        1        0                 0                 0
948  45951  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         33           0         8      31       14         56         33           0         8      31       14         57          1           0   94  102   61   31  157  138   28  130        0        0        0        0        0                 0                 0
952  54037  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         33           0         8      31       14         56         33           0         8      31       14         57          1           0   94  102   61   31  157  138   28  220        0        0        0        0        0                 0                 0
961  29675  32589   1    0     8      1        56     0     0    0    0     0    0         8      31       14         56         33           0         8      31       14         56         33           0         8      31       14         57          1           0  111    7   96  132  157  138   24   43        0        0        0        1        0                 0                 0
969  45604  43008   1    0     8      1        56     0     0    0    0     0    0         8      31       14         56         33           0         8      31       14         56         33           0         8      31       14         57          1           0  111    7   96  133  157  138   28  204        0        0        0        1        0                 0                 0
971  52967  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         33           0         8      31       14         56         33           0         8      31       14         57          1           0   94  102   61   31  157  138   22  172        0        0        0        0        0                 0                 0
973  55062  49152   2    0     0      1       170     0     0    0    0     0    0         8      31       14         56         33           0         8      31       14         56         33           0         8      31       14         57          1           0   94  102   61   31  157  138   20  179        0        0        0        0        0                 0                 0
975  48129  30001   1    0     4      1        50     0     0    0    0     0    0         8      31       14         56         33           0         8      31       14         56         33           0         8      31       14         57          1           0   45  143  203   59  157  138   20  254        0        0        0        1        0                 0                 0
979  33860  49152   2    0     0      2       803     0     0    0    0     0    0         8      31       14         56         33           0         8      31       14         56         33           0         8      31       14         57          1           0   94  102   61   31  157  138   28   57        0        0        0        0        0                 0                 0
===== ------------ =====
